15/03/2023
15:15:55 Ligou CLP
15:26:30 Ligou CLP
15:50:37 Ativou Alarme Protetor dianteiro aberto
15:50:37 Desativou Alarme Protetor dianteiro aberto
15:50:37 Ativou Alarme Protetor dianteiro aberto
15:50:37 Desativou Alarme Protetor dianteiro aberto
15:50:38 Ativou Alarme Protetor dianteiro aberto
15:50:38 Desativou Alarme Protetor dianteiro aberto
15:50:38 Ativou Alarme Protetor dianteiro aberto
15:50:39 Desativou Alarme Protetor dianteiro aberto
15:50:39 Ativou Alarme Protetor dianteiro aberto
15:50:39 Desativou Alarme Protetor dianteiro aberto
15:50:39 Ativou Alarme Protetor dianteiro aberto
15:50:40 Desativou Alarme Protetor dianteiro aberto
15:50:40 Ativou Alarme Protetor dianteiro aberto
15:50:40 Desativou Alarme Protetor dianteiro aberto
15:50:40 Ativou Alarme Protetor dianteiro aberto
15:50:40 Desativou Alarme Protetor dianteiro aberto
15:50:57 sensorProtetorDiantFechado=1 (ant=0)
15:50:59 Ativou Alarme Molde nao fechado
15:50:59 Desativou Alarme Molde nao fechado
15:51:00 Ativou Alarme Molde nao fechado
15:51:01 Desativou Alarme Molde nao fechado
15:51:01 Ativou Alarme Molde nao fechado
15:51:01 Desativou Alarme Molde nao fechado
15:51:01 Ativou Alarme Molde nao fechado
15:51:01 Desativou Alarme Molde nao fechado
15:51:01 Ativou Alarme Molde nao fechado
15:51:01 Desativou Alarme Molde nao fechado
15:51:02 Ativou Alarme Molde nao fechado
15:51:02 Desativou Alarme Molde nao fechado
15:51:24 Ativou Alarme Molde nao fechado
15:51:24 Desativou Alarme Molde nao fechado
15:51:45 sensorMaquinaTravada=1 (ant=0)
15:51:58 sensorAmortecimentoFechamento=1 (ant=0)
15:54:27 Ligou CLP
15:54:27 Ativou Alarme Motor desligado
15:54:52 sensorProtetorDiantFechado=1 (ant=0)
15:55:02 Desativou Alarme Motor desligado
15:55:05 sensorMaquinaTravada=1 (ant=0)
15:55:12 sensorAmortecimentoFechamento=1 (ant=0)
15:55:58 sensorMaquinaTravada=0 (ant=1)
15:56:01 Ativou Alarme Completar curso de dosagem manualmente
15:56:01 Ativou Alarme Tempo maximo de ciclo excedido
15:56:17 Desativou Alarme Completar curso de dosagem manualmente
15:56:17 Desativou Alarme Tempo maximo de ciclo excedido
15:56:33 senhaCorrente=****
15:57:23 tempoMaximoCiclo=99999 (ant=0)
16:02:02 Ativou Alarme Completar curso de dosagem manualmente
16:02:08 Desativou Alarme Completar curso de dosagem manualmente
16:02:13 sensorFimDosagem=1 (ant=0)
16:02:23 sensorAmortecimentoFechamento=0 (ant=1)
16:02:24 sensorAmortecimentoFechamento=1 (ant=0)
16:02:27 sensorMaquinaTravada=1 (ant=0)
16:02:37 sensorPassagemParaRecalque=1 (ant=0)
16:03:04 sensorMaquinaTravada=0 (ant=1)
16:03:09 sensorAmortecimentoAbertura=1 (ant=0)
